"Begin Time - ss.msec","End Time - ss.msec","*TIME","Motion","Mom Grab","RHInteract","LHGrasp","LHInteract","RHGrasp","Interact Comment","Mouth","Grasp Comment","Interact  Comment","Mom Grab Comment","Mon Grab comment","Interact comment","Motion Comment","Mouth Comment","Momgrab comment","Grasp comment","Motion comment","Momgrab","Mouth comment","motion comment","grasp comment","moith comment","interact comment","Mom action","Mom action comment","inInteract comment","mouth comment","RHinteract","LHinteract","Mom Actions","File","File Path"
211.308,214.478,,,,,"ig",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
211.504,213.922,,"Shak-b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
214.509,225.678,,,,,"ag","a",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
215.204,224.88,,,,,,,,,"am",,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
222.017,223.119,,,"momgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
224.526,226.429,,,"momgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
227.71,230.891,,,,,,"i",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
227.916,233.277,,,,"a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
228.204,230.892,,,,,"ig",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
228.216,233.277,,,,,,,"ag",,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
230.891,238.97,,,,,,"a",,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
231.219,235.371,,,,,"ag",,,,,,,,,,,,,,,,,,,,,,,,,,,,"001_07_061807_PO_babyhands_AM.eaf"
