"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","*TIME","LHGrasp","RHInteract","RHGrasp","Interact Comment","LHInteract","Grasp Comment","LHinteract","File","File Path"
395.314,396.876,1.562,,,,,"OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
396.909,397.776,0.867,,,,"m",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
396.909,397.992,1.083,,,"m",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
396.919,397.186,0.267,,,,,"under",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
399.216,399.784,0.568,,,,,"OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
399.784,399.884,0.1,,,,,"under",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
399.805,400.472,0.667,,,,"ig",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
399.805,400.483,0.678,,,"i",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
440.921,442.234,1.313,,,,,"OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
442.222,442.868,0.646,,,,"ig m",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
442.222,442.986,0.764,,,"i m",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
442.868,444.07,1.202,,,,"ig",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
442.992,444.17,1.178,,,"i",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
451.918,452.819,0.901,,,,,"OCC",,,,"002_08_090507_07192018EP_mathands_DH.eaf"
452.808,453.571,0.763,,,"i",,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
452.808,453.575,0.767,,,,"ig",,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
463.106,463.281,0.175,"End Toy Play- by BK",,,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"
718.293,718.879,0.586,"END",,,,,,,,"002_08_090507_07192018EP_mathands_DH.eaf"

101.77,106.26,4.49,,,"a","ag",,,,,"003_08_092407_07202018EP_mathands_IN.eaf"
101.771,102.402,0.631,"START",,,,,,,,"003_08_092407_07202018EP_mathands_IN.eaf"
105.21,106.27,1.06,,"ag",,,,"a",,,"003_08_092407_07202018EP_mathands_IN.eaf"
110.28,112.01,1.73,,,"m","mg",,,,,"003_08_092407_07202018EP_mathands_IN.eaf"
113.36,113.51,0.15,,"mg",,,,"m",,,"003_08_092407_07202018EP_mathands_IN.eaf"
114.65,116.51,1.86,,,"m",,,,,,"003_08_092407_07202018EP_mathands_IN.eaf"
117.59,117.74,0.15,,,"m","mg",,,,,"003_08_092407_07202018EP_mathands_IN.eaf"
121.14,123.7,2.56,,"ag",,,,"a",,,"003_08_092407_07202018EP_mathands_IN.eaf"
123.73,125.12,1.39,,,"m","mg",,,,,"003_08_092407_07202018EP_mathands_IN.eaf"
125.64,125.73,0.09,,,"m",,,,,,"003_08_092407_07202018EP_mathands_IN.eaf"
128.45,129.87,1.42,,,"m",,,,,,"003_08_092407_07202018EP_mathands_IN.eaf"
