Begin,End,m_inf,i_inf,a_inf,Mom Actions,m_mom,i_mom,a_mom,File
355.14,411.635,,L,,,,,,007_07
356.032,357.269,,,,momgrab,,,,007_07
380.56800000000004,383.43199999999996,,,,momforce,,,,007_07
380.584,383.43199999999996,,,Both,,,,,007_07
380.584,408.779,,,R,,,,,007_07
399.245,400.77,,,,momgrab,,,,007_07
405.92199999999997,406.99,,,,momgrab,,,,007_07
407.579,408.858,,,,momgrab,,,,007_07
410.635,448.98199999999997,,R,,,,,,007_07
412.00800000000004,448.98199999999997,,,Both,,,,,007_07
412.00800000000004,502.575,,,L,,,,,007_07
436.64599999999996,437.765,,,,momforce,,,,007_07
451.897,468.295,R,,,,,,,007_07
466.881,468.295,,,,momgrab,,,,007_07
466.881,468.415,,,,momgrab,,,,007_07
469.86199999999997,470.15,R,,,,,,,007_07
501.465,502.69300000000004,,,,momgrab,,,,007_07
125.008,125.584,R,,,,,,,008_08
125.008,126.477,L,,,,,,,008_08
130.341,139.079,R,,,,,,,008_08
131.012,139.079,Both,,,,,,,008_08
131.012,139.08700000000002,L,,,,,,,008_08
138.629,139.08700000000002,,,,momgrab,,,,008_08
138.629,139.106,,,,momgrab,,,,008_08
142.968,147.69,,,R,,,,,008_08
142.968,151.97,,,L,,,,,008_08
148.611,150.053,Both,,,,,,,008_08
149.378,150.046,,,,momgrab,,,,008_08
151.512,153.666,R,,,,,,,008_08
152.514,153.666,Both,,,,,,,008_08
152.514,167.19799999999998,L,,,,,,,008_08
155.164,163.672,Both,,,,,,,008_08
166.873,167.868,R,,,,,,,008_08
168.514,186.916,L,,,,,,,008_08
176.40599999999998,183.354,Both,,,,,,,008_08
188.10299999999998,192.482,,R,,,,,,008_08
189.50599999999997,190.635,,Both,,,,,,008_08
191.326,195.679,L,,,,,,,008_08
192.955,193.666,Both,,,,,,,008_08
196.327,200.585,,L,,,,,,008_08
199.56,200.585,,Both,,,,,,008_08
199.56,200.993,,R,,,,,,008_08
201.127,202.74200000000002,L,,,,,,,008_08
204.407,209.398,,R,,,,,,008_08
206.071,209.398,Both,,,,,,,008_08
206.071,213.687,L,,,,,,,008_08
210.265,210.976,Both,,,,,,,008_08
212.858,217.483,R,,,,,,,008_08
217.507,218.708,,,,momgrab,,,,008_08
217.507,218.709,L,,,,,,,008_08
223.46,231.888,R,,,,,,,008_08
228.66099999999997,230.38299999999998,,Both,,,,,,008_08
231.338,238.075,L,,,,,,,008_08
237.115,238.075,,,,momgrab,,,,008_08
237.115,238.077,,,,momgrab,,,,008_08
240.513,299.855,,,R,,,,,008_08
242.263,299.855,,,Both,,,,,008_08
242.263,303.255,,,L,,,,,008_08
301.128,303.121,,Both,,,,,,008_08
305.33099999999996,307.86,,R,,,,,,008_08
306.834,307.86,,,Both,,,,,008_08
306.834,350.291,,,L,,,,,008_08
308.657,319.493,,,Both,,,,,008_08
332.584,337.58099999999996,,,R,,,,,008_08
339.167,340.95099999999996,R,,,,,,,008_08
341.51,351.12300000000005,,,R,,,,,008_08
344.719,346.124,,,,momgrab,,,,008_08
348.719,351.12300000000005,,,,momgrab,,,,008_08
355.718,360.783,,,R,,,,,008_08
357.93300000000005,360.783,,,Both,,,,,008_08
357.93300000000005,444.18699999999995,,,L,,,,,008_08
361.306,364.658,Both,,,,,,,008_08
366.222,371.67900000000003,R,,,,,,,008_08
374.92699999999996,377.167,R,,,,,,,008_08
382.01800000000003,408.079,,,R,,,,,008_08
415.905,444.783,,,R,,,,,008_08
447.57300000000004,454.95599999999996,R,,,,,,,008_08
450.531,451.915,,Both,,,,,,008_08
454.329,466.832,L,,,,,,,008_08
469.35699999999997,471.583,R,,,,,,,008_08
479.895,482.379,R,,,,,,,008_08
66.211,107.84100000000001,,,R,,,,,009_08
70.851,72.34100000000001,,,Both,,,,,009_08
77.881,83.171,,,L,,,,,009_08
87.421,96.521,,,L,,,,,009_08
98.626,100.586,,,L,,,,,009_08
106.40799999999999,107.868,,,,momgrab,,,,009_08
109.271,126.751,,,R,,,,,009_08
135.95,140.82,R,,,,,,,009_08
139.961,140.82,Both,,,,,,,009_08
139.961,160.471,L,,,,,,,009_08
145.17,160.471,Both,,,,,,,009_08
145.17,290.58,R,,,,,,,009_08
189.481,194.421,Both,,,,,,,009_08
199.456,205.05599999999998,L,,,,,,,009_08
208.49099999999999,208.851,L,,,,,,,009_08
210.25599999999997,211.486,L,,,,,,,009_08
213.136,213.606,L,,,,,,,009_08
215.25599999999997,226.62599999999998,L,,,,,,,009_08
238.331,242.87099999999998,L,,,,,,,009_08
252.56599999999997,262.166,L,,,,,,,009_08
263.801,267.961,L,,,,,,,009_08
270.736,277.246,L,,,,,,,009_08
280.13599999999997,285.376,L,,,,,,,009_08
288.911,304.14099999999996,L,,,,,,,009_08
307.04,314.07,R,,,,,,,009_08
316.625,321.775,R,,,,,,,009_08
322.70099999999996,324.051,L,,,,,,,009_08
323.455,324.051,Both,,,,,,,009_08
323.455,328.925,R,,,,,,,009_08
336.025,342.705,R,,,,,,,009_08
369.18,371.43,R,,,,,,,009_08
369.83099999999996,371.43,Both,,,,,,,009_08
369.83099999999996,407.20099999999996,L,,,,,,,009_08
400.8,407.20099999999996,,,Both,,,,,009_08
400.8,446.01,,,R,,,,,009_08
408.401,424.221,,,Both,,,,,009_08
93.214,102.07,,,L,,,,,010_08
93.214,118.57799999999999,,,R,,,,,010_08
102.818,118.57799999999999,Both,,,,,,,010_08
102.818,123.585,L,,,,,,,010_08
118.93,123.585,,Both,,,,,,010_08
118.93,148.977,,R,,,,,,010_08
123.71799999999999,127.26799999999999,,Both,,,,,,010_08
128.814,137.17700000000002,L,,,,,,,010_08
137.727,150.21,,,L,,,,,010_08
149.127,150.21,,,Both,,,,,010_08
149.127,160.881,,,R,,,,,010_08
159.03,160.881,,,Both,,,,,010_08
159.03,176.47,,,L,,,,,010_08
161.399,162.36700000000002,,Both,,,,,,010_08
164.42,164.885,R,,,,,,,010_08
167.907,185.28900000000002,,,R,,,,,010_08
178.613,185.28900000000002,,Both,,,,,,010_08
178.613,186.481,,L,,,,,,010_08
185.519,186.481,,Both,,,,,,010_08
185.519,276.371,,R,,,,,,010_08
191.605,231.97,,,Both,,,,,010_08
232.203,292.368,L,,,,,,,010_08
276.605,292.368,,,Both,,,,,010_08
276.605,300.288,,,R,,,,,010_08
282.759,284.395,,,,momgrab,,,,010_08
292.802,345.775,,,L,,,,,010_08
306.824,345.775,,,Both,,,,,010_08
306.824,386.976,,,R,,,,,010_08
357.00300000000004,357.983,,,Both,,,,,010_08
365.10400000000004,388.786,L,,,,,,,010_08
387.31699999999995,388.786,Both,,,,,,,010_08
387.31699999999995,402.281,R,,,,,,,010_08
394.694,402.281,,,Both,,,,,010_08
394.694,469.529,,,L,,,,,010_08
402.515,404.19199999999995,,Both,,,,,,010_08
404.226,406.98,R,,,,,,,010_08
408.381,418.86800000000005,,R,,,,,,010_08
459.116,471.879,,R,,,,,,010_08
469.99800000000005,471.879,,Both,,,,,,010_08
469.99800000000005,487.668,,L,,,,,,010_08
477.015,483.083,,Both,,,,,,010_08
485.601,500.37199999999996,,R,,,,,,010_08
489.605,493.374,,Both,,,,,,010_08
494.009,501.789,L,,,,,,,010_08
500.714,501.789,Both,,,,,,,010_08
500.714,524.489,R,,,,,,,010_08
503.009,515.494,,Both,,,,,,010_08
516.013,518.497,L,,,,,,,010_08
522.624,552.8969999999999,,,L,,,,,010_08
525.023,552.8969999999999,,,Both,,,,,010_08
525.023,582.766,,,R,,,,,010_08
579.116,582.766,,Both,,,,,,010_08
579.116,607.14,,L,,,,,,010_08
582.899,584.828,,Both,,,,,,010_08
585.629,607.129,,,R,,,,,010_08
122.95,124.34,,,,momforce,,,,011_08
122.98899999999999,124.34,,,Both,,,,,011_08
122.98899999999999,128.679,,,R,,,,,011_08
124.439,128.679,,,Both,,,,,011_08
127.18,128.679,,,,momgrab,,,,011_08
127.18,128.75,,,,momgrab,,,,011_08
132.849,141.589,,R,,,,,,011_08
139.07,139.36,,,Both,,,,,011_08
140.685,144.085,,,L,,,,,011_08
140.69,141.97,,,,momforce,,,,011_08
142.154,144.774,,,R,,,,,011_08
143.65,144.774,,,,momgrab,,,,011_08
143.65,144.99,,,,momgrab,,,,011_08
144.3,144.99,Both,,,,,,,011_08
144.3,155.98,L,,,,,,,011_08
146.16899999999998,155.98,Both,,,,,,,011_08
146.16899999999998,159.48,R,,,,,,,011_08
156.78,159.48,,,Both,,,,,011_08
156.78,160.49,,,L,,,,,011_08
157.82,159.55,,,,momgrab,,,,011_08
160.94,169.328,L,,,,,,,011_08
163.09,169.328,Both,,,,,,,011_08
163.09,175.71,R,,,,,,,011_08
173.11900000000003,173.86900000000003,Both,,,,,,,011_08
174.419,184.08900000000003,,,L,,,,,011_08
176.32,184.08900000000003,,,Both,,,,,011_08
176.32,187.285,,,R,,,,,011_08
185.22,186.29,,,,momforce,,,,011_08
185.229,186.29,Both,,,,,,,011_08
185.229,188.56900000000002,L,,,,,,,011_08
186.65,187.35,,,,momgrab,,,,011_08
187.455,197.085,R,,,,,,,011_08
189.325,189.495,,,Both,,,,,011_08
190.145,190.885,L,,,,,,,011_08
191.47,199.39,,,L,,,,,011_08
197.175,199.39,,Both,,,,,,011_08
197.175,207.195,,R,,,,,,011_08
199.09,199.43,,,,momgrab,,,,011_08
200.295,224.265,L,,,,,,,011_08
203.24,204.579,,,,momgrab,,,,011_08
205.57,207.24,,,,momgrab,,,,011_08
217.574,226.68400000000003,R,,,,,,,011_08
227.68,234.04,R,,,,,,,011_08
230.245,234.04,Both,,,,,,,011_08
230.245,234.195,L,,,,,,,011_08
233.09,234.195,,,,momgrab,,,,011_08
233.09,234.25,,,,momgrab,,,,011_08
236.8,241.825,L,,,,,,,011_08
240.54,241.825,Both,,,,,,,011_08
240.54,247.74,R,,,,,,,011_08
242.49,247.74,,Both,,,,,,011_08
242.49,251.06,,L,,,,,,011_08
245.155,247.775,,,,momgrab,,,,011_08
248.78,266.98,,,R,,,,,011_08
251.9,254.88,Both,,,,,,,011_08
256.97,262.07,,,,momforce,,,,011_08
256.97,265.345,,L,,,,,,011_08
263.35,265.345,,,,momgrab,,,,011_08
263.35,265.5,,,,momgrab,,,,011_08
265.67,267.04,,,,momgrab,,,,011_08
271.355,275.365,,,L,,,,,011_08
272.96,275.365,,,,momgrab,,,,011_08
272.96,275.4,,,,momgrab,,,,011_08
273.29,275.4,,Both,,,,,,011_08
273.29,283.77,,R,,,,,,011_08
277.325,283.77,Both,,,,,,,011_08
277.325,298.555,L,,,,,,,011_08
280.24,282.645,,,,momforce,,,,011_08
282.645,283.835,,,,momgrab,,,,011_08
284.075,287.845,R,,,,,,,011_08
290.675,307.645,R,,,,,,,011_08
304.26,306.01,,,,momforce,,,,011_08
309.75,318.88,R,,,,,,,011_08
