"Begin Time - ss.msec","End Time - ss.msec","*TIME","Motion","LHGrasp","RHInteract","Mouthing","RHGrasp","Interact Comment","LHInteract","Mom Action","Grasp Comment","Mouth","Mom Actions","LHinteract","Mom Grab","File","File Path"
465.866,479.592,,,,,,"ag",,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
467.913,471.017,,,,,,,,"a",,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
468.048,471.017,,,"ag",,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
468.14,477.766,,,,,"am",,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
473.739,473.872,,,,,,,,"m","momforce",,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
477.273,477.487,"End Toy Play - by BK",,,,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
479.706,479.86,,"drop",,,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"
654.506,655.012,"END",,,,,,,,,,,,,,"001_08_071807_07172018EP_babyhands_TD.eaf"

108.452,109.146,"START",,,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
108.452,109.594,,"mouth",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
108.452,110.271,,,,,,"m",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
108.452,110.29,,,,"m",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
110.276,110.425,,"drop",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
110.706,122.077,,,,"i",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
111.515,121.274,,,,,,"ig",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
124.517,124.784,,,,"i",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
127.402,128.094,,,,,,,,"a",,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
128.619,148.096,,,,,,,,"m",,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
128.819,148.073,,,"m",,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
130.476,132.984,,"shak-b",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
144.528,156.793,,,,"i",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
144.761,152.787,,,,,,"ig",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
157.112,160.096,,,,"m",,"m",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
159.12,162.469,,,"m",,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
159.12,225.068,,,,,,,,"m",,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
159.972,161.331,,"shak-b",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
165.023,225.027,,,"m",,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
165.807,166.074,,,,"a",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
166.083,166.234,,"drop",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
167.907,168.865,,,,"i",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
169.199,208.196,,,,"a",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
169.417,208.098,,,,,,"ag",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
208.6,208.667,,,,"m",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
210.075,210.809,,,,,,,,,"momgrab",,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
210.301,247.371,,,,"a",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
217.286,219.197,,"shak-b",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
224.939,225.221,,,,,,,"OCC",,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
225.068,225.219,,"drop",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
227.384,238.272,,,,,,"ag",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
230.002,243.289,,,,,,,,"m",,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
242.106,243.274,,,"m",,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
243.298,243.449,,"drop",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
254.125,254.692,,,,"m",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
254.689,254.838,,"drop",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
255.729,262.897,,,,"i",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
257.724,262.896,,,,,,"ig",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
259.315,267.693,,,,,,,,"i",,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
261.517,264.769,,,"ig",,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
267.701,267.852,,"drop",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
268.913,284.692,,,,"a",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
270.512,284.571,,,,,,"ag",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
272.429,276.381,,,"ag",,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
272.429,283.595,,,,,,,,"a",,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
283.596,283.748,,"drop",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
284.826,305.098,,,,"m",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
285.002,305.109,,,,,,"m",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
292.382,294.502,,"shak-b",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
298.732,311.395,,,,,,,,"m",,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
298.732,311.396,,,"m",,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
311.401,311.552,,"drop",,,,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
323.612,332.884,,,,"m",,,,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
324.012,332.791,,,,,,"m",,,,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
325.732,326.47,,,"m",,,,,"m",,,,,,,"002_08_090507_07192018EP_babyhands_DH.eaf"
