index,Begin,End,m,i,a,Mom Actions,File
260,46.401,49.13,,,R,,007_07
261,49.13,54.376000000000005,Both,,,,007_07
,54.376000000000005,75.991,,,R,,007_07
262,58.933,65.60600000000001,L,,,,007_07
263,65.60600000000001,66.169,,,,momgrab,007_07
263,66.169,66.207,,,,momgrab,007_07
264,71.02,71.025,L,,,,007_07
265,71.025,72.012,,,,momforce,007_07
,72.012,79.202,L,,,,007_07
266,73.9,75.991,,,,momgrab,007_07
267,84.57700000000001,87.42399999999999,L,,,,007_07
268,91.6,93.61200000000001,L,,,,007_07
269,94.616,99.015,L,,,,007_07
270,99.78200000000001,101.699,L,,,,007_07
271,103.29700000000001,109.428,L,,,,007_07
272,109.428,110.993,,,,momgrab,007_07
,110.993,126.26799999999999,L,,,,007_07
273,113.51100000000001,116.527,,,,momgrab,007_07
274,122.41,122.62200000000001,,R,,,007_07
275,122.62200000000001,126.26799999999999,,,,momgrab,007_07
,126.26799999999999,137.597,,R,,,007_07
276,127.402,128.589,,,,momgrab,007_07
277,140.1,146.71,,L,,,007_07
278,146.71,148.28799999999998,,Both,,,007_07
278,148.28799999999998,149.329,,R,,,007_07
279,151.786,159.683,R,,,,007_07
280,160.809,164.891,,R,,,007_07
281,168.419,183.731,L,,,,007_07
282,183.731,189.597,Both,,,,007_07
,189.597,196.175,L,,,,007_07
283,198.222,198.77700000000002,,,L,,007_07
284,202.11900000000003,203.90400000000002,L,,,,007_07
285,203.90400000000002,228.208,,,Both,,007_07
286,228.208,236.57299999999998,,,,momgrab,007_07
286,236.57299999999998,236.611,,,,momgrab,007_07
,236.57299999999998,257.28,L,,,,007_07
287,240.03099999999998,241.80900000000003,R,,,,007_07
288,241.80900000000003,245.514,,,,momgrab,007_07
,245.514,294.075,R,,,,007_07
289,253.608,260.129,,,,momgrab,007_07
290,262.10200000000003,263.733,L,,,,007_07
291,263.733,265.53,,,,momgrab,007_07
,265.53,277.079,L,,,,007_07
292,272.204,276.123,,,,momgrab,007_07
293,280.406,281.007,,,,momgrab,007_07
294,280.42400000000004,288.966,L,,,,007_07
294,288.966,281.007,Both,,,,007_07
295,291.905,298.71,L,,,,007_07
296,298.71,303.29,Both,,,,007_07
,303.29,345.07800000000003,L,,,,007_07
297,311.105,313.2,,,,momgrab,007_07
298,319.72900000000004,321.031,,R,,,007_07
299,321.031,323.188,,,,momgrab,007_07
,323.188,348.88800000000003,,R,,,007_07
300,326.832,329.18300000000005,,,,momgrab,007_07
301,332.199,332.778,,,,momgrab,007_07
302,343.599,344.769,,,,momgrab,007_07
303,349.099,364.524,R,,,,007_07
304,364.524,366.282,Both,,,,007_07
304,366.282,371.827,L,,,,007_07
305,371.827,371.978,,,,momgrab,007_07
305,371.978,372.004,,,,momgrab,007_07
306,93.256,94.699,R,,,,008_07
308,94.214,95.397,,,,momgrab,008_07
307,94.699,95.397,L,,,,008_07
308,95.397,95.402,,,,momgrab,008_07
309,96.602,97.99700000000001,,,,momforce,008_07
310,97.99700000000001,103.51299999999999,R,,,,008_07
311,103.51299999999999,105.495,,,,momgrab,008_07
311,105.495,105.50299999999999,,,,momgrab,008_07
312,108.00299999999999,112.0,,,R,,008_07
313,112.0,114.334,,,Both,,008_07
314,114.334,116.396,,,,momgrab,008_07
314,116.396,116.40100000000001,,,,momgrab,008_07
315,118.18,119.579,,,,momforce,008_07
317,118.20100000000001,123.99700000000001,,,Both,,008_07
316,119.579,118.20100000000001,,,R,,008_07
,123.99700000000001,132.297,,,R,,008_07
318,125.626,137.79399999999998,,,L,,008_07
319,134.401,142.697,,,R,,008_07
320,137.298,138.298,,,,momgrab,008_07
321,138.701,143.804,,,L,,008_07
319,142.697,137.79399999999998,,,Both,,008_07
322,143.804,145.197,,,,momgrab,008_07
323,146.7,146.71,,R,,,008_07
324,146.71,147.07,,,,momforce momgrab,008_07
325,147.07,147.77100000000002,,,Both,,008_07
,147.77100000000002,147.795,,R,,,008_07
325,147.77100000000002,150.248,,,L,,008_07
326,150.566,150.898,,,,momforce,008_07
327,150.898,155.296,,R,,,008_07
328,165.025,166.67,,,,momgrab momforce,008_07
329,167.16,175.37099999999998,,,R,,008_07
330,175.37099999999998,175.673,,,Both,,008_07
,175.673,181.695,,,R,,008_07
331,181.105,181.705,,,,momgrab,008_07
332,184.502,187.415,,L,,,008_07
333,187.415,191.095,,Both,,,008_07
333,191.095,194.295,,R,,,008_07
334,195.50099999999998,196.926,R,,,,008_07
335,196.926,197.885,Both,,,,008_07
,197.885,218.49900000000002,R,,,,008_07
336,206.015,212.393,L,,,,008_07
337,230.101,233.19299999999998,,,L,,008_07
338,233.21,233.308,,,R,,008_07
339,233.308,236.49099999999999,,,,momforce,008_07
,236.49099999999999,257.795,,,R,,008_07
340,237.407,240.39700000000002,,,L,,008_07
341,241.705,248.299,L,,,,008_07
342,252.412,253.324,,,,momgrab,008_07
343,257.123,257.835,,,,momgrab,008_07
344,258.805,270.21,L,,,,008_07
345,285.022,285.02299999999997,R,,,,008_07
346,285.02299999999997,285.647,,,,momforce,008_07
,285.647,292.49,R,,,,008_07
347,295.415,295.418,,,R,,008_07
348,295.418,296.452,,,,momforce,008_07
,296.452,311.476,,,R,,008_07
349,296.909,300.19,,,L,,008_07
350,302.907,323.019,,,L,,008_07
351,322.026,324.375,,,,momforce,008_07
352,322.029,324.375,Both,,,,008_07
353,323.401,327.39099999999996,Both,,,,008_07
351,324.375,323.019,,,,momforce,008_07
352,324.375,323.401,R,,,,008_07
353,327.39099999999996,334.293,L,,,,008_07
354,337.10699999999997,343.288,,R,,,008_07
355,343.288,344.27099999999996,,,,momgrab,008_07
355,344.27099999999996,345.457,,,,momgrab,008_07
356,345.457,345.959,,Both,,,008_07
,345.959,347.559,,,,momgrab,008_07
357,349.501,349.50199999999995,,L,,,008_07
358,349.50199999999995,349.70300000000003,,,,momforce,008_07
359,349.70300000000003,350.468,,Both,,,008_07
,350.468,353.19,,L,,,008_07
359,350.468,356.335,,R,,,008_07
360,356.335,356.99300000000005,,,,momgrab,008_07
360,356.99300000000005,357.026,,,,momgrab,008_07
361,369.44599999999997,369.452,,,,momforce,008_07
362,369.452,369.798,,,Both,,008_07
362,369.798,375.7,,,R,,008_07
363,101.499,109.274,,R,,,009_07
364,109.274,122.294,L,,,,009_07
365,123.305,124.101,,L,,,009_07
366,124.101,126.32799999999999,,,,momgrab,009_07
,126.32799999999999,131.47299999999998,,L,,,009_07
367,134.526,145.813,R,,,,009_07
368,145.813,146.116,,,,momforce,009_07
369,146.116,147.709,Both,,,,009_07
,147.709,151.985,R,,,,009_07
369,147.709,148.47799999999998,L,,,,009_07
370,157.517,161.42700000000002,,,,momforce,009_07
372,160.88299999999998,165.176,,,Both,,009_07
371,161.42700000000002,160.88299999999998,,,L,,009_07
,165.176,178.19,,,L,,009_07
373,169.41400000000002,191.718,,,R,,009_07
374,191.718,195.382,,,Both,,009_07
,195.382,207.695,,,R,,009_07
375,201.208,202.584,,,L,,009_07
376,205.417,217.19099999999997,,,L,,009_07
377,212.425,239.378,,,R,,009_07
377,239.378,217.19099999999997,,,Both,,009_07
378,241.108,241.12400000000002,,,R,,009_07
379,241.12400000000002,241.475,,,Both,,009_07
379,241.475,253.676,,,L,,009_07
380,263.722,264.78700000000003,,R,,,009_07
381,265.911,283.281,,R,,,009_07
382,284.916,285.703,R,,,,009_07
383,285.703,286.267,,,,momgrab,009_07
384,290.002,291.531,,,,momforce,009_07
385,291.531,309.827,R,,,,009_07
386,309.827,312.796,Both,,,,009_07
386,312.796,325.082,L,,,,009_07
387,348.505,356.29400000000004,R,,,,009_07
